epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9873,0.82585,5.77044,0.00719,0,0,0,0,0.32086,6.32056,0.00407,5.10278e-05,5.10278e-05,5.10278e-05
2,24.8468,0.61332,5.64709,0.00516,0,0,0,0,0.25018,6.27858,0.00288,0.000104582,0.000104582,0.000104582
3,27.1581,0.6013,5.40427,0.00489,0,0,0,0,0.34031,6.30882,0.00384,0.000155932,0.000155932,0.000155932
4,29.9302,0.61179,5.38021,0.00494,0,0,0,0,0.27723,6.24481,0.00326,0.00015708,0.00015708,0.00015708
5,32.241,0.53218,5.22144,0.00446,0,0,0,0,0.28572,6.12939,0.00337,0.000153774,0.000153774,0.000153774
6,34.6976,0.53324,5.0454,0.00438,0.07143,0.0381,0.03786,0.03583,0.30223,5.91307,0.0035,0.000150467,0.000150467,0.000150467
7,37.1732,0.54039,4.89498,0.00432,0.04773,0.16862,0.08997,0.08425,0.32271,5.66605,0.00384,0.00014716,0.00014716,0.00014716
8,39.564,0.54565,4.87811,0.00472,0.03348,0.24901,0.09716,0.09068,0.33473,5.39464,0.00407,0.000143854,0.000143854,0.000143854
9,42.0835,0.49381,4.63668,0.00407,0.04863,0.46349,0.14438,0.13809,0.30267,5.10624,0.00359,0.000140547,0.000140547,0.000140547
10,44.453,0.48164,4.48936,0.00402,0.0603,0.57931,0.16914,0.15896,0.30582,4.97367,0.00357,0.000137241,0.000137241,0.000137241
11,46.8127,0.49107,4.4515,0.0039,0.06869,0.69229,0.24525,0.22744,0.3191,4.92485,0.00367,0.000133934,0.000133934,0.000133934
12,49.1956,0.48914,4.33142,0.004,0.07185,0.81037,0.29559,0.27936,0.31897,4.80474,0.00362,0.000130627,0.000130627,0.000130627
13,51.5698,0.51777,4.34536,0.00429,0.86379,0.18107,0.32089,0.30255,0.37072,4.73188,0.00414,0.000127321,0.000127321,0.000127321
14,53.9528,0.49041,4.26095,0.0042,0.88701,0.18347,0.34962,0.33212,0.38398,4.5908,0.00422,0.000124014,0.000124014,0.000124014
15,56.2447,0.51541,4.11152,0.00405,0.90991,0.18642,0.39461,0.37578,0.38515,4.48163,0.0042,0.000120708,0.000120708,0.000120708
16,58.5831,0.46544,3.9239,0.00364,0.63197,0.2466,0.42104,0.39969,0.40843,4.40525,0.00442,0.000117401,0.000117401,0.000117401
17,60.9677,0.48002,3.96151,0.0038,0.5904,0.26383,0.44112,0.42019,0.38041,4.33663,0.00412,0.000114094,0.000114094,0.000114094
18,63.3034,0.4813,3.84568,0.00388,0.65059,0.29999,0.46639,0.4452,0.35856,4.26663,0.00396,0.000110788,0.000110788,0.000110788
19,65.6872,0.46922,3.74573,0.00379,0.66793,0.34264,0.52162,0.49809,0.35246,4.19836,0.00393,0.000107481,0.000107481,0.000107481
20,68.0628,0.47687,3.8214,0.00396,0.61963,0.43428,0.55346,0.52691,0.34521,4.1219,0.00378,0.000104175,0.000104175,0.000104175
21,70.3483,0.46154,3.67895,0.00381,0.55972,0.46816,0.58751,0.56395,0.33637,4.03631,0.00373,0.000100868,0.000100868,0.000100868
22,72.6408,0.4845,3.6672,0.0041,0.5998,0.48141,0.61503,0.58937,0.3005,3.95617,0.0034,9.75614e-05,9.75614e-05,9.75614e-05
23,74.9853,0.48863,3.58562,0.00401,0.57121,0.52197,0.63397,0.60626,0.32657,3.90919,0.00363,9.42548e-05,9.42548e-05,9.42548e-05
24,77.28,0.47384,3.46215,0.00376,0.54052,0.56355,0.6512,0.62394,0.30514,3.81725,0.00346,9.09482e-05,9.09482e-05,9.09482e-05
25,79.6395,0.46489,3.46366,0.00389,0.57135,0.56596,0.66678,0.63462,0.30525,3.73819,0.0035,8.76416e-05,8.76416e-05,8.76416e-05
26,81.9871,0.46569,3.38842,0.0038,0.59216,0.59596,0.69186,0.66125,0.30123,3.68637,0.0034,8.4335e-05,8.4335e-05,8.4335e-05
27,84.303,0.45366,3.38951,0.00388,0.65277,0.60066,0.69363,0.66497,0.3022,3.65184,0.0034,8.10284e-05,8.10284e-05,8.10284e-05
28,86.6013,0.44973,3.19805,0.00351,0.64645,0.62309,0.70985,0.67579,0.30632,3.61342,0.00356,7.77218e-05,7.77218e-05,7.77218e-05
29,88.9476,0.47168,3.33957,0.00386,0.70229,0.61291,0.71027,0.67552,0.33445,3.60157,0.00376,7.44152e-05,7.44152e-05,7.44152e-05
30,91.3025,0.4742,3.33975,0.00394,0.70241,0.62311,0.71518,0.68198,0.27453,3.57206,0.00313,7.11086e-05,7.11086e-05,7.11086e-05
31,93.6879,0.45883,3.28347,0.00399,0.69497,0.644,0.71891,0.69198,0.28035,3.56898,0.00318,6.7802e-05,6.7802e-05,6.7802e-05
32,95.9764,0.45207,3.12743,0.00361,0.66337,0.6728,0.72462,0.69603,0.28976,3.56989,0.00331,6.44954e-05,6.44954e-05,6.44954e-05
33,98.2952,0.47779,3.24629,0.00395,0.63443,0.68274,0.73324,0.70623,0.31026,3.53211,0.00359,6.11888e-05,6.11888e-05,6.11888e-05
34,100.618,0.47,3.25746,0.00398,0.69538,0.68693,0.73613,0.70959,0.30628,3.48911,0.00348,5.78822e-05,5.78822e-05,5.78822e-05
35,102.905,0.45296,3.14173,0.00373,0.72314,0.68621,0.74035,0.70868,0.28087,3.4457,0.00318,5.45756e-05,5.45756e-05,5.45756e-05
36,105.232,0.44846,3.12589,0.00369,0.72706,0.68934,0.74373,0.71599,0.27579,3.41329,0.00316,5.1269e-05,5.1269e-05,5.1269e-05
